text,y_true,y_pred,original_response
The boys must be gaming because there goes the wifi.,0,0,NO
"Look at those eyes. Either someone unexpectedly just fisted her up the dumper, or that bitch is certifiably a nutburger.",1,1,YES
Old man mogs everyone in this sub,0,1,YES
"Excellent, I was just looking at another post where the female fvcked men to get grades, why support that, or even risk exposing ourselves to that type of fraudulent behavior.",0,1,YES
"So you run back to daddy whenever you need help. I thought men were sooo bad? Lol. Like I said at the end you need the help of men and can't do shit on your own. Your dad must be a major cuck to raise such a stupid daughter, what went wrong",1,1,YES
"Don't think that using the word ""feminine"" wasn't strategic, Mo. It was. And I couldn't agree more with everything else you wrote. They attempt to bring the rest of us down to their level. Not gonna happen ... Lol, men are a gift from God.",1,1,YES
‪Import the third world and become the third world. You won’t see feminists protesting about this. ‬ ‪[URL],0,1,YES
Most women find a highly educated and well traveled man sexy.,0,0,NO
That's female fantasy. I have a lot of experience in that field and nurses marry doctors all the time. Something statistics also support.,1,0,NO
Miss Pony [USER] posting her own home made porn photos Your one sick bitch !,1,1,YES
The black African will soon be labeling her a racist. Race card coming soon,0,1,YES
"Hahaha, what a cuckold. I would've just ghosted her. ""I will not tell her what to do"" YOU ARE IN A RELATIONSHIP WITH HER, ITS YOUR DUTY TO TELL HER WHAT TO DO. Cuckold motherfucker. Now it's too late, dump the bitch.",1,1,YES
"Thanks for the response brotha, I'll work towards it. It's just another nasty remnant of my beta days. But like you said, I'm a man. Men conquer.",1,1,YES
#Politics #GabFam #MAGA #Australia As #MSM develops a case of total silence while covering womens virtue signaling BS. Must've been the vagina hats rather than the FGM and child RAPES [URL],1,1,YES
The queen is not representing herself and a direct descendant of Muhammad & high up in the Catholic church of the illuminati ... so are you surprised about this abuse of children?,0,0,NO
I saw this from [USER] herself but I thought I would share [USER] 's video on it. Keep up the good work on #PizzaGate guys! This is real #News. Don't be afraid to #SpeakFreely. [URL],0,0,NO
Giving women all your money is good personality.,1,0,NO
Na he's not flirting with her so she's reading him as gay.,0,0,NO
How long will it take a woman to mentally move on from the situation? Cause they're fond of bringing up shit from before my ancestors,1,1,YES
"You say you're a MGTOW, why in the hell did you agree to this? She made her damn bed. Bet your ass she would have never done the same for you if you were in her situation.",1,1,YES
I suspect an ugly woman is the prosecuter. Ugly parent turned her in. Ugly women are criminalizing being hot. [URL],1,1,YES
"Imagine having to work with a woman along with all the stress from your other responsibilities. I've been there bro it fucking sucks, but be careful always, they will use their gender to their advantage.",1,1,YES
*women spend all free time trying to block male only activities*,1,1,YES
I get the impression that incel never skipped a meal in his life.,0,0,NO
Human sacrifice in the Bible psalm-1379-christian-bible-girl-baby-religion,0,0,NO
"Why did he move out? She's the cheater, she should be forced out.",1,1,YES
Good - the grid girls can finally get back into F1,0,0,NO
"#Italy: #Muslim #migrant gropes American student’s girlfriend, then #stabs the student twice: [URL]",0,0,NO
"The ultimate stupid nigger, his cockroach mother I'm sure is on benifits too... Useless vermin.",1,1,YES
She had a strong legal team for that manipulated her testimony for that very reason. To construct a testimony that would protect her from the consequences of her actions.,0,0,NO
If you’re 6’3” chad with a 2” dick she will find another chad. Maybe not an incel but fuck I can sympathize.,1,1,YES
"I don’t date women with body imperfections. This is why if she has asymmetric breasts, stretch marks, cellulite, a weird vagina etc I ghost after the creampie",1,1,YES
"Before I decided to sack Twitter off entirely, I muted about 100 terms, things like Feminism, sexism, racism, Trump, Brexit. Massive fucking list. Made Twitter so much more fun.",0,1,YES
All women are children,1,1,YES
I'm his first ever girlfriend Incels do not get girlfriends ever,0,1,YES
"There was an experiment where the scientists were introducing the value of the money to monkeys or chimpanzees. Just little shiny discs they could trade for food and things. It didn't take the females long to start selling sex. Well, there you go.",1,1,YES
[URL] he should have punched her out she is nothing but a hag from the uk feel free to punch ex pats they are excrement,1,1,YES
"Why do women settle down with you after you spent your youth getting your dick wet with as many different pussies as you can? Because people change over time, they mature, they become different than they were ten years ago.",1,1,YES
"Yes, let's all be LECTURED by a Jack-ass like this Jimbo Bono's Bud in Red #BoycottedOscars #BoycottHollywood",0,0,NO
Sick fucks....santanic people need to burn in hell!!,0,0,NO
How do you make Lady Gaga scream? Bite her clit off.,1,1,YES
"yeah but things are different now. tradcons are part of the problem. when the muslims take over, im gonna learn arabic and im gonna have me a harem. gotta admit muslims keep their women in check",1,1,YES
Hhaaha I fucking hate women.,1,1,YES
"statistic.. because women don't find plurals attractive, i say statistic not statistics stay true to yourselves fat shy introverts",1,1,YES
They are just so pissed off cuz no woman wants neither one of them and they know it. Both little fat round pigs who probably play tiddlywinks together!,0,1,YES
Drown her in pigs blood!!,1,1,YES
Overheard at Star Wars RPG Night: “I cut open the door with my lightsaber and roll through the hole in one move. Best use of a Triumph EVER!” Me: “I don’t know. I once saw a guy pick up 3 hot girls in a TR-3.”,0,0,NO
The new Europeans are into all kinds of sex....,0,0,NO
First. Black Democrats upset that Black unemployment is down. Now. Feminists upset with good looking women so they get Grid girls fired. Next. LGBTQ community wants AIDS to come back.,0,1,YES
"Yeah, I was just trying to annoy the gymcels. Anyone who's anyone knows femoids are incapable of love.",1,1,YES
"Depends on the girl, on both sides of this. Average girl gives an average blowjob, paid or not. And you can get high end escorts, or just more willing girls where it’s all on the table.",1,1,YES
#2AShallNotBeInfringed #NRA,0,0,NO
"Ah, /r/redpillwomen, where ladies are free to speak their minds about any subject they like, so long as it involves either trading recipes or bashing Gloria Steinem. And nothing else.",0,1,YES
"She's getting ready to ghost you, pull back a little pursing her and wait for her to reach out to you. She is probably feeling a little crowded by your attention. In the meantime hit up other girls",0,1,YES
"The ""migrant"" first eats her snatch, then the disease eats it.",0,1,YES
Maybe to women that's what slaying means. But to men it's just racking up a pussy count.,1,1,YES
The Latest: Spain suspects bought weapons after first attack - Tyranny News [URL],0,0,NO
oh no! So they are saying if I send my daught to college she might.... put on a hat? OH THE HUMANITY!!!!,0,1,YES
This is about false rape charges and how wives use the laws to torture and get money from the brides family.....highly recommend to watch full video ....its mind blowing,0,1,YES
"Greens, eh? The fateful question of the Occident is thus now whether young female university graduates can be continually served with yoga and Pilates courses even amidst the ruins looming on the horizon.",1,0,NO
My state? I'm not Jewish. They literally won't stop until they destroy Israel and kill every Jewish person. Have you even read the Qur'an? It was created to give them a sanctuary if Nazi Germany type countries ever rose up again.,0,0,NO
"Freedom? Yep, every year when I pay my taxes so a bunch of third world scum can steal the money and rape our women, I thank those vets for giving me that freedom!",0,1,YES
"If You Thought Ashley Graham Couldn’t Get Any Worse, You Haven’t Seen Her In A Mullet [URL] [URL]",0,1,YES
"Bitch shouldn't have come here illegally, now should she? #ByeFelicia #DeportThemAll [URL]",1,1,YES
"Does this actually work? This seems like the easiest way to get prostitutes, undercover cops, or STDs.",0,1,YES
#Question The amount of muslims?,0,0,NO
This man deserves to be hailed a hero he looked in the eyes of an ugly four eyed hijab and gave hwr the only respect she deserves blood and death,1,1,YES
"Her career literally doesn't matter, neither does her degree or diploma. Agree with the rest.",0,0,NO
"I'd be shocked if it ever worked, usually these thots are getting stretched on the side, and after Leafyishere did the content nuke on her, the tier 3 subs lost it. She has a boyfriend is now etched in their collective memories",1,1,YES
"new male successes will arise out of the ashes of lost ones like comic culture, pc gaming, herioc fantasy, boyscouts etc. may they forever remained scorned and ridiculed by women.",1,1,YES
Hillary Clinton fucking delivered a damn BlackHawk helicopter to ISIS Leader Baghdadi as a GIFT!!!! How sweet of her!!! The Bitch!,1,1,YES
[URL] Obviously written by an incel,0,1,YES
"But he’s tall, surely she wouldn’t cheat on him with a 5’11 Jeremy Meeks",0,0,NO
Raising women and children is demeaning. Allowing strangers to fuck you at will and aborting their unborn children with no consequences of fatherhood is empowering. #feminismiscancer,1,1,YES
Intolerant feminist attacks “Doctor Who” British TV show for not being transgender or black enough - Tyranny News [URL],0,0,NO
Well said. Single mothers would not get this point.,1,0,NO
"Among letters attesting to her ‘good character’ was one written by her carpenter husband of 13 years, Paul, 34. He helped her cover her face as she arrived at court for yesterday’s hearing. Double pussy pass! Idiot husband deserves what he gets.",1,1,YES
"As if reading your BS would make me an intellectual. Women are more than willing to date damaged men as long as the guy is hot. They don't care about ""work"", they care about looks. [URL]",1,1,YES
"While I agree that its a clear sign of immaturity, women still speak this way into their late 20's. The more spoiled they are the longer it lasts.",1,1,YES
OMG you think I can slay Asian pussy I already have 5 Asian girlfriends but I need 10 to not be considered an incel. I’m going to take over the whole continent,1,1,YES
Damn...this pisses me off to no end! These mother fuckers need to start gracing the halls of maximum security federal facilities!,0,0,NO
Basically they are together and I only saw them twice and she never spoke to me as her dad was there,0,0,NO
"No. First my mom became a whore after dad left and was a huge bitch! Oh god, why won't she love me?!",1,1,YES
Go for more traditional women. They cheat at a far lower rate than city girls.,1,1,YES
"I hope the DOJ goes after EVERY DEMOCRAT for ANY tax, bank, campaign fraud they can find. ANY of it! EVEN IF from 10 years ago. These political prosecutions will only end when the dems cry ""Uncle!""",0,0,NO
The mormans have female cucks. We literally outlawed it because it's bad for scociety.,0,1,YES
You should've hit her.,1,1,YES
No thank you I've had my self-confidence destroyed by Indian women since birth,1,1,YES
And if he was a male sex slave he'd bitch and whine,1,1,YES
"""just smile even though you want to kill yourself, bro""",0,0,NO
"Guys a retard , who wants attention",0,0,NO
