text,y_true,y_pred,original_response
The boys must be gaming because there goes the wifi.,0,0,no
"Look at those eyes. Either someone unexpectedly just fisted her up the dumper, or that bitch is certifiably a nutburger.",1,1,yes
Old man mogs everyone in this sub,0,0,no
"Excellent, I was just looking at another post where the female fvcked men to get grades, why support that, or even risk exposing ourselves to that type of fraudulent behavior.",0,0,no
"So you run back to daddy whenever you need help. I thought men were sooo bad? Lol. Like I said at the end you need the help of men and can't do shit on your own. Your dad must be a major cuck to raise such a stupid daughter, what went wrong",1,1,yes
"Don't think that using the word ""feminine"" wasn't strategic, Mo. It was. And I couldn't agree more with everything else you wrote. They attempt to bring the rest of us down to their level. Not gonna happen ... Lol, men are a gift from God.",1,0,no
‪Import the third world and become the third world. You won’t see feminists protesting about this. ‬ ‪[URL],0,1,yes
Most women find a highly educated and well traveled man sexy.,0,0,no
That's female fantasy. I have a lot of experience in that field and nurses marry doctors all the time. Something statistics also support.,1,0,no
Miss Pony [USER] posting her own home made porn photos Your one sick bitch !,1,1,yes
The black African will soon be labeling her a racist. Race card coming soon,0,1,yes
"Hahaha, what a cuckold. I would've just ghosted her. ""I will not tell her what to do"" YOU ARE IN A RELATIONSHIP WITH HER, ITS YOUR DUTY TO TELL HER WHAT TO DO. Cuckold motherfucker. Now it's too late, dump the bitch.",1,1,yes
"Thanks for the response brotha, I'll work towards it. It's just another nasty remnant of my beta days. But like you said, I'm a man. Men conquer.",1,0,no
#Politics #GabFam #MAGA #Australia As #MSM develops a case of total silence while covering womens virtue signaling BS. Must've been the vagina hats rather than the FGM and child RAPES [URL],1,1,yes
The queen is not representing herself and a direct descendant of Muhammad & high up in the Catholic church of the illuminati ... so are you surprised about this abuse of children?,0,0,no
I saw this from [USER] herself but I thought I would share [USER] 's video on it. Keep up the good work on #PizzaGate guys! This is real #News. Don't be afraid to #SpeakFreely. [URL],0,0,no
Giving women all your money is good personality.,1,0,no
Na he's not flirting with her so she's reading him as gay.,0,0,no
How long will it take a woman to mentally move on from the situation? Cause they're fond of bringing up shit from before my ancestors,1,0,no
"You say you're a MGTOW, why in the hell did you agree to this? She made her damn bed. Bet your ass she would have never done the same for you if you were in her situation.",1,1,yes
I suspect an ugly woman is the prosecuter. Ugly parent turned her in. Ugly women are criminalizing being hot. [URL],1,1,yes
"Imagine having to work with a woman along with all the stress from your other responsibilities. I've been there bro it fucking sucks, but be careful always, they will use their gender to their advantage.",1,1,yes
*women spend all free time trying to block male only activities*,1,1,yes
I get the impression that incel never skipped a meal in his life.,0,0,no
Human sacrifice in the Bible psalm-1379-christian-bible-girl-baby-religion,0,0,no
"Why did he move out? She's the cheater, she should be forced out.",1,1,yes
Good - the grid girls can finally get back into F1,0,0,no
"#Italy: #Muslim #migrant gropes American student’s girlfriend, then #stabs the student twice: [URL]",0,0,no
"The ultimate stupid nigger, his cockroach mother I'm sure is on benifits too... Useless vermin.",1,1,yes
She had a strong legal team for that manipulated her testimony for that very reason. To construct a testimony that would protect her from the consequences of her actions.,0,0,no
If you’re 6’3” chad with a 2” dick she will find another chad. Maybe not an incel but fuck I can sympathize.,1,1,yes
"I don’t date women with body imperfections. This is why if she has asymmetric breasts, stretch marks, cellulite, a weird vagina etc I ghost after the creampie",1,1,yes
"Before I decided to sack Twitter off entirely, I muted about 100 terms, things like Feminism, sexism, racism, Trump, Brexit. Massive fucking list. Made Twitter so much more fun.",0,0,no
All women are children,1,1,yes
I'm his first ever girlfriend Incels do not get girlfriends ever,0,0,no
"There was an experiment where the scientists were introducing the value of the money to monkeys or chimpanzees. Just little shiny discs they could trade for food and things. It didn't take the females long to start selling sex. Well, there you go.",1,0,no
[URL] he should have punched her out she is nothing but a hag from the uk feel free to punch ex pats they are excrement,1,1,yes
"Why do women settle down with you after you spent your youth getting your dick wet with as many different pussies as you can? Because people change over time, they mature, they become different than they were ten years ago.",1,0,no
"Yes, let's all be LECTURED by a Jack-ass like this Jimbo Bono's Bud in Red #BoycottedOscars #BoycottHollywood",0,1,yes
Sick fucks....santanic people need to burn in hell!!,0,0,no
How do you make Lady Gaga scream? Bite her clit off.,1,1,yes
"yeah but things are different now. tradcons are part of the problem. when the muslims take over, im gonna learn arabic and im gonna have me a harem. gotta admit muslims keep their women in check",1,1,yes
Hhaaha I fucking hate women.,1,1,yes
"statistic.. because women don't find plurals attractive, i say statistic not statistics stay true to yourselves fat shy introverts",1,0,no
They are just so pissed off cuz no woman wants neither one of them and they know it. Both little fat round pigs who probably play tiddlywinks together!,0,1,yes
Drown her in pigs blood!!,1,1,yes
Overheard at Star Wars RPG Night: “I cut open the door with my lightsaber and roll through the hole in one move. Best use of a Triumph EVER!” Me: “I don’t know. I once saw a guy pick up 3 hot girls in a TR-3.”,0,0,no
The new Europeans are into all kinds of sex....,0,0,no
First. Black Democrats upset that Black unemployment is down. Now. Feminists upset with good looking women so they get Grid girls fired. Next. LGBTQ community wants AIDS to come back.,0,1,yes
"Yeah, I was just trying to annoy the gymcels. Anyone who's anyone knows femoids are incapable of love.",1,1,yes
"Depends on the girl, on both sides of this. Average girl gives an average blowjob, paid or not. And you can get high end escorts, or just more willing girls where it’s all on the table.",1,1,yes
#2AShallNotBeInfringed #NRA,0,0,no
"Ah, /r/redpillwomen, where ladies are free to speak their minds about any subject they like, so long as it involves either trading recipes or bashing Gloria Steinem. And nothing else.",0,1,yes
"She's getting ready to ghost you, pull back a little pursing her and wait for her to reach out to you. She is probably feeling a little crowded by your attention. In the meantime hit up other girls",0,0,no
"The ""migrant"" first eats her snatch, then the disease eats it.",0,1,yes
Maybe to women that's what slaying means. But to men it's just racking up a pussy count.,1,1,yes
The Latest: Spain suspects bought weapons after first attack - Tyranny News [URL],0,0,no
oh no! So they are saying if I send my daught to college she might.... put on a hat? OH THE HUMANITY!!!!,0,0,no
This is about false rape charges and how wives use the laws to torture and get money from the brides family.....highly recommend to watch full video ....its mind blowing,0,0,no
"Greens, eh? The fateful question of the Occident is thus now whether young female university graduates can be continually served with yoga and Pilates courses even amidst the ruins looming on the horizon.",1,0,no
My state? I'm not Jewish. They literally won't stop until they destroy Israel and kill every Jewish person. Have you even read the Qur'an? It was created to give them a sanctuary if Nazi Germany type countries ever rose up again.,0,0,no
"Freedom? Yep, every year when I pay my taxes so a bunch of third world scum can steal the money and rape our women, I thank those vets for giving me that freedom!",0,1,yes
"If You Thought Ashley Graham Couldn’t Get Any Worse, You Haven’t Seen Her In A Mullet [URL] [URL]",0,0,no
"Bitch shouldn't have come here illegally, now should she? #ByeFelicia #DeportThemAll [URL]",1,1,yes
"Does this actually work? This seems like the easiest way to get prostitutes, undercover cops, or STDs.",0,0,no
#Question The amount of muslims?,0,0,no
This man deserves to be hailed a hero he looked in the eyes of an ugly four eyed hijab and gave hwr the only respect she deserves blood and death,1,1,yes
"Her career literally doesn't matter, neither does her degree or diploma. Agree with the rest.",0,0,no
"I'd be shocked if it ever worked, usually these thots are getting stretched on the side, and after Leafyishere did the content nuke on her, the tier 3 subs lost it. She has a boyfriend is now etched in their collective memories",1,1,yes
"new male successes will arise out of the ashes of lost ones like comic culture, pc gaming, herioc fantasy, boyscouts etc. may they forever remained scorned and ridiculed by women.",1,1,yes
Hillary Clinton fucking delivered a damn BlackHawk helicopter to ISIS Leader Baghdadi as a GIFT!!!! How sweet of her!!! The Bitch!,1,1,yes
[URL] Obviously written by an incel,0,1,yes
"But he’s tall, surely she wouldn’t cheat on him with a 5’11 Jeremy Meeks",0,0,no
Raising women and children is demeaning. Allowing strangers to fuck you at will and aborting their unborn children with no consequences of fatherhood is empowering. #feminismiscancer,1,1,yes
Intolerant feminist attacks “Doctor Who” British TV show for not being transgender or black enough - Tyranny News [URL],0,0,no
Well said. Single mothers would not get this point.,1,1,yes
"Among letters attesting to her ‘good character’ was one written by her carpenter husband of 13 years, Paul, 34. He helped her cover her face as she arrived at court for yesterday’s hearing. Double pussy pass! Idiot husband deserves what he gets.",1,1,yes
"As if reading your BS would make me an intellectual. Women are more than willing to date damaged men as long as the guy is hot. They don't care about ""work"", they care about looks. [URL]",1,1,yes
"While I agree that its a clear sign of immaturity, women still speak this way into their late 20's. The more spoiled they are the longer it lasts.",1,0,no
OMG you think I can slay Asian pussy I already have 5 Asian girlfriends but I need 10 to not be considered an incel. I’m going to take over the whole continent,1,0,no
Damn...this pisses me off to no end! These mother fuckers need to start gracing the halls of maximum security federal facilities!,0,0,no
Basically they are together and I only saw them twice and she never spoke to me as her dad was there,0,0,no
"No. First my mom became a whore after dad left and was a huge bitch! Oh god, why won't she love me?!",1,1,yes
Go for more traditional women. They cheat at a far lower rate than city girls.,1,0,no
"I hope the DOJ goes after EVERY DEMOCRAT for ANY tax, bank, campaign fraud they can find. ANY of it! EVEN IF from 10 years ago. These political prosecutions will only end when the dems cry ""Uncle!""",0,0,no
The mormans have female cucks. We literally outlawed it because it's bad for scociety.,0,0,no
You should've hit her.,1,1,yes
No thank you I've had my self-confidence destroyed by Indian women since birth,1,1,yes
And if he was a male sex slave he'd bitch and whine,1,0,no
"""just smile even though you want to kill yourself, bro""",0,0,no
"Guys a retard , who wants attention",0,0,no
